date,read_bytes,write_bytes
2017-03-22,88075726667447.5,72680766384931.4
2017-03-23,280849719452559.0,163466606920719.0
2017-03-24,2.87803856927659e+15,267223434225852.0
2017-03-25,752497692527978.0,381354858676429.0
2017-03-26,550238826357930.0,392229561019814.0
2017-03-27,1.09344766205225e+15,316877594557830.0
2017-03-28,676635731815317.0,339384144648445.0
2017-03-29,702227275764737.0,424062540960341.0
2017-03-30,724013427094628.0,287804382600957.0
2017-03-31,659826240746771.0,409120853561279.0
2017-04-01,471093458183652.0,337896515145690.0
2017-04-02,270586366352260.0,192977449314097.0
2017-04-03,499286012842554.0,231860624886619.0
2017-04-04,330615390954894.0,266164109732791.0
2017-04-05,561978980421416.0,345690918907944.0
2017-04-06,519774926770265.0,245894120535551.0
2017-04-07,736615794099453.0,142509599975783.0
2017-04-08,373970410639237.0,396090403580611.0
2017-04-09,1.44685292479527e+15,574153330527017.0
2017-04-10,941452196791588.0,381409702910004.0
2017-04-11,1.05692520981826e+15,546280830960741.0
2017-04-12,527385317826934.0,3.05049345355504e+15
2017-04-13,622262684842771.0,407807703160913.0
2017-04-14,1.01704596506297e+15,224171241045961.0
2017-04-15,668069897985074.0,1.43817124327764e+15
2017-04-16,372407117353403.0,2.62923534674802e+15
2017-04-17,609097825635042.0,2.69957359109522e+15
2017-04-18,499902701193315.0,474280154557385.0
2017-04-19,242462015854236.0,440051192781125.0
2017-04-20,474363148215622.0,948199107025029.0
2017-04-21,536796343337585.0,3.02468216548822e+15
2017-04-22,515579157546522.0,3.78642653170461e+15
2017-04-23,536458569856530.0,3.14744123272161e+15
2017-04-24,359707408430849.0,4.2875870920334e+15
2017-04-25,694708387818383.0,6.98785496369367e+15
2017-04-26,581258638171352.0,1.9194804479707e+15
2017-04-27,850058934049550.0,920002397267715.0
2017-04-28,645994619527973.0,1.0063277224622e+15
2017-04-29,903951625167402.0,627943915411865.0
2017-04-30,713968439591931.0,1.02903519418667e+15
2017-05-01,1.04354892318214e+15,576956605594937.0
2017-05-02,812118973219251.0,1.16664112726314e+15
2017-05-03,915533637161567.0,983527357034461.0
2017-05-04,549081868259716.0,392260375213787.0
2017-05-05,874601971140449.0,1.93807633230502e+15
2017-05-06,589961414568643.0,841671856270239.0
2017-05-07,877178548583499.0,438494557611625.0
2017-05-08,634941719758441.0,868051586476967.0
2017-05-09,722186082885960.0,1.05993542624966e+15
2017-05-10,688782667203238.0,630476486191148.0
2017-05-11,671578184938475.0,612884991276185.0
2017-05-12,867110463143698.0,547157754618542.0
2017-05-13,1.30803090508477e+15,552862085602422.0
2017-05-14,1.40254907063551e+15,760465028901950.0
2017-05-15,795760086247067.0,556889326040368.0
2017-05-16,111658228096465.0,98262525625853.6
2017-05-17,485459172613908.0,330133544923187.0
2017-05-18,737776067819632.0,889651610679989.0
2017-05-19,794551492932544.0,527033054018981.0
2017-05-20,650685724640390.0,728886516628044.0
2017-05-21,736187947627857.0,387799770078679.0
2017-05-22,1.91293599544281e+15,495385659558754.0
2017-05-23,3.1681540773117e+15,475884289187366.0
2017-05-24,1.29729505447247e+15,775192831742376.0
2017-05-25,669110781696178.0,589084598910914.0
2017-05-26,559548932072086.0,522572238967570.0
2017-05-27,676242023349621.0,785050152874910.0
2017-05-28,856538572172543.0,750677841464438.0
2017-05-29,654886618291672.0,702339664921270.0
2017-05-30,1.14391848942191e+15,662957708070504.0
2017-05-31,995174390758210.0,718978984248462.0
2017-06-01,3.29432944104326e+15,1.06246831715389e+15
2017-06-02,2.49513979949342e+15,1.12466088981981e+15
2017-06-03,1.46524354112226e+15,959860177051697.0
2017-06-04,938635334653675.0,833786728157890.0
2017-06-05,902959833915130.0,809423109277522.0
2017-06-06,869627782758415.0,592090311752182.0
2017-06-07,802344466475145.0,515511831014181.0
2017-06-08,981780999865059.0,833074286582940.0
2017-06-09,872340933211298.0,553667788953761.0
2017-06-10,1.24170801771036e+15,346815505748628.0
2017-06-11,520280364163560.0,215765464990719.0
2017-06-12,1.0429246343777e+15,588520881999087.0
2017-06-13,609499611288818.0,884300794065169.0
2017-06-14,550985010631538.0,613152843206368.0
2017-06-15,511991484016608.0,487237386978495.0
2017-06-16,896722332547573.0,538098115255772.0
2017-06-17,665285960304030.0,908270538340732.0
2017-06-18,981642027412563.0,552006805194372.0
2017-06-19,475085449909549.0,709314221881013.0
2017-06-20,1.34148647403255e+15,952429260389119.0
2017-06-21,1.01775221980292e+15,525414079271325.0
2017-06-22,440113259909131.0,233149427623320.0
2017-06-23,522309167318160.0,374551554396968.0
2017-06-24,341179372387030.0,357062908773984.0
2017-06-25,473431954800253.0,825340314057676.0
2017-06-26,694615777008858.0,527572043054743.0
2017-06-27,999253931696578.0,471962645768167.0
2017-06-28,576794718593665.0,892141108052266.0
2017-06-29,983402881038393.0,341248231015549.0
2017-06-30,4.38742839015125e+15,502692759288598.0
2017-07-01,2.56663361216874e+15,315382095276555.0
2017-07-02,796599771993009.0,266410270994581.0
2017-07-03,865261447920895.0,443469128391894.0
2017-07-04,846581685616450.0,674432987477224.0
2017-07-05,338311955999907.0,323403942741783.0
2017-07-06,1.0150130544928e+15,602647481699791.0
2017-07-07,1.1874957110741e+15,655368517160755.0
2017-07-08,887851523549628.0,357839197904246.0
2017-07-09,766122898994801.0,441841090387435.0
2017-07-10,689985472541450.0,375072640312967.0
2017-07-11,912348456700198.0,555161871928696.0
